MonthStart,KAM_ID,Points Target,VOA Target
2026-07-01,K01,1180,580
2026-08-01,K01,1160,570
2026-09-01,K01,1210,595
2026-07-01,K02,780,375
2026-08-01,K02,790,380
2026-09-01,K02,900,435
2026-07-01,K03,700,345
2026-08-01,K03,650,315
2026-09-01,K03,740,360
2026-07-01,K04,490,240
2026-08-01,K04,560,270
2026-09-01,K04,570,280
2026-07-01,K05,390,190
2026-08-01,K05,380,185
2026-09-01,K05,420,200
2026-07-01,K06,210,115
2026-08-01,K06,220,110
2026-09-01,K06,230,120
2026-07-01,K07,660,350
2026-08-01,K07,780,410
2026-09-01,K07,870,455
2026-07-01,K08,620,310
2026-08-01,K08,570,295
2026-09-01,K08,640,335
2026-07-01,K09,440,225
2026-08-01,K09,460,240
2026-09-01,K09,520,275
2026-07-01,K10,370,180
2026-08-01,K10,420,225
2026-09-01,K10,390,210
2026-07-01,K11,270,140
2026-08-01,K11,300,155
2026-09-01,K11,290,150
2026-07-01,K12,130,75
2026-08-01,K12,180,95
2026-09-01,K12,160,90
2026-07-01,K13,690,380
2026-08-01,K13,660,355
2026-09-01,K13,740,400
2026-07-01,K14,560,310
2026-08-01,K14,520,285
2026-09-01,K14,550,295
2026-07-01,K15,430,230
2026-08-01,K15,480,235
2026-09-01,K15,490,240
2026-07-01,K16,360,210
2026-08-01,K16,310,170
2026-09-01,K16,340,185
2026-07-01,K17,260,145
2026-08-01,K17,280,140
2026-09-01,K17,260,135
2026-07-01,K18,130,80
2026-08-01,K18,150,85
2026-09-01,K18,140,80
