ActivationID,ActivationDate,KAM_ID,Product_ID,Customer_PID,PortIn,Quantity,Points,PointsEligible
ACT-2026-000001,2026-07-01,K01,P-MOB-GSM,PID823255,MNP,1,2.21,True
ACT-2026-000002,2026-07-01,K01,P-MOB-GSM,PID396358,None,1,1.11,True
ACT-2026-000003,2026-07-01,K01,P-MOB-GSM,PID600593,MNP,1,2.21,True
ACT-2026-000004,2026-07-01,K01,P-MOB-GSM,PID244340,None,1,1.11,True
ACT-2026-000005,2026-07-01,K01,P-MOB-OTH,PID387844,None,1,1.66,True
ACT-2026-000006,2026-07-01,K01,P-FIX-BIB,PID102108,None,1,16.52,True
ACT-2026-000007,2026-07-01,K01,P-MOB-GSM,PID727662,None,1,1.11,True
ACT-2026-000008,2026-07-01,K01,P-MOB-GSM,PID419068,MNP,1,2.21,True
ACT-2026-000009,2026-07-01,K01,P-MOB-GSM,PID376896,None,1,1.11,True
ACT-2026-000010,2026-07-01,K01,P-MOB-GSM,PID609375,MNP,1,2.21,True
ACT-2026-000011,2026-07-01,K01,P-MOB-GSM,PID107536,None,1,1.11,True
ACT-2026-000012,2026-07-01,K01,P-MOB-GSM,PID179492,None,1,1.11,True
ACT-2026-000013,2026-07-01,K01,P-MOB-GSM,PID419100,None,1,1.11,True
ACT-2026-000014,2026-07-01,K01,P-MOB-GSM,PID841407,None,1,1.11,True
ACT-2026-000015,2026-07-01,K01,P-MOB-GSM,PID111911,None,1,1.11,True
ACT-2026-000016,2026-07-01,K01,P-MOB-GSM,PID828397,None,1,1.11,True
ACT-2026-000017,2026-07-01,K01,P-MOB-GSM,PID139158,None,1,1.11,True
ACT-2026-000018,2026-07-01,K01,P-MOB-GSM,PID433459,None,1,1.11,True
ACT-2026-000019,2026-07-01,K01,P-MOB-GSM,PID859124,None,1,1.11,True
ACT-2026-000020,2026-07-01,K01,P-MOB-GSM,PID933744,None,1,1.11,True
ACT-2026-000021,2026-07-01,K01,P-MOB-GSM,PID216054,None,1,1.11,True
ACT-2026-000022,2026-07-01,K01,P-MOB-GSM,PID119556,None,1,1.11,True
ACT-2026-000023,2026-07-01,K01,P-MOB-GSM,PID655904,None,1,1.11,True
ACT-2026-000024,2026-07-01,K01,P-MOB-GSM,PID883818,MNP,1,2.21,True
ACT-2026-000025,2026-07-01,K01,P-MOB-GSM,PID526861,None,1,1.11,True
ACT-2026-000026,2026-07-01,K01,P-MOB-GSM,PID417577,None,1,1.11,True
ACT-2026-000027,2026-07-01,K01,P-MOB-GSM,PID796971,None,1,1.11,True
ACT-2026-000028,2026-07-01,K01,P-MOB-GSM,PID503769,None,1,1.11,True
ACT-2026-000029,2026-07-01,K01,P-MOB-GSM,PID302900,MNP,1,2.21,True
ACT-2026-000030,2026-07-01,K01,P-MOB-GSM,PID207756,None,1,1.11,True
ACT-2026-000031,2026-07-01,K01,P-MOB-GSM,PID230741,None,1,1.11,True
ACT-2026-000032,2026-07-01,K01,P-MOB-GSM,PID319202,None,1,1.11,True
ACT-2026-000033,2026-07-01,K01,P-MOB-OTH,PID368517,None,1,1.66,True
ACT-2026-000034,2026-07-01,K01,P-MOB-GSM,PID845128,None,1,1.11,True
ACT-2026-000035,2026-07-01,K01,P-MOB-GSM,PID537658,None,1,1.11,True
ACT-2026-000036,2026-07-01,K01,P-MOB-GSM,PID498864,None,1,1.11,True
ACT-2026-000037,2026-07-01,K01,P-MOB-GSM,PID197690,None,1,1.11,True
ACT-2026-000038,2026-07-01,K01,P-MOB-GSM,PID928285,MNP,1,2.21,True
ACT-2026-000039,2026-07-01,K01,P-MOB-GSM,PID947033,None,1,1.11,True
ACT-2026-000040,2026-07-01,K01,P-MOB-OTH,PID990179,None,1,1.66,True
ACT-2026-000041,2026-07-01,K01,P-MOB-GSM,PID232483,None,1,1.11,True
ACT-2026-000042,2026-07-01,K01,P-MOB-GSM,PID100072,None,1,1.11,True
ACT-2026-000043,2026-07-01,K01,P-MOB-GSM,PID768319,None,1,1.11,True
ACT-2026-000044,2026-07-01,K01,P-MOB-OTH,PID335188,None,1,1.66,True
ACT-2026-000045,2026-07-01,K01,P-MOB-GSM,PID167627,MNP,1,2.21,True
ACT-2026-000046,2026-07-01,K01,P-MOB-GSM,PID840948,None,1,1.11,True
ACT-2026-000047,2026-07-01,K01,P-MOB-GSM,PID304362,None,1,1.11,True
ACT-2026-000048,2026-07-01,K01,P-MOB-GSM,PID689828,None,1,1.11,True
ACT-2026-000049,2026-07-01,K01,P-MOB-GSM,PID715422,MNP,1,2.21,True
ACT-2026-000050,2026-07-01,K01,P-MOB-GSM,PID220239,MNP,1,2.21,True
ACT-2026-000051,2026-07-01,K01,P-MOB-GSM,PID864278,None,1,1.11,True
ACT-2026-000052,2026-07-01,K01,P-MOB-GSM,PID142998,None,1,1.11,True
ACT-2026-000053,2026-07-01,K02,P-MOB-GSM,PID192750,None,1,1.11,True
ACT-2026-000054,2026-07-01,K02,P-MOB-GSM,PID810338,None,1,1.11,True
ACT-2026-000055,2026-07-01,K02,P-MOB-GSM,PID379131,None,1,1.11,True
ACT-2026-000056,2026-07-01,K02,P-MOB-OTH,PID437470,None,1,1.66,True
ACT-2026-000057,2026-07-01,K02,P-MOB-GSM,PID274062,None,1,1.11,True
ACT-2026-000058,2026-07-01,K02,P-MOB-GSM,PID921422,None,1,1.11,True
ACT-2026-000059,2026-07-01,K02,P-MOB-GSM,PID179563,MNP,1,2.21,True
ACT-2026-000060,2026-07-01,K02,P-MOB-GSM,PID373615,MNP,1,2.21,True
ACT-2026-000061,2026-07-01,K02,P-MOB-GSM,PID947655,None,1,1.11,True
ACT-2026-000062,2026-07-01,K02,P-MOB-GSM,PID553719,None,1,1.11,True
ACT-2026-000063,2026-07-01,K02,P-MOB-GSM,PID285034,None,1,1.11,True
ACT-2026-000064,2026-07-01,K02,P-MOB-GSM,PID926296,None,1,1.11,True
ACT-2026-000065,2026-07-01,K02,P-MOB-GSM,PID589681,None,1,1.11,True
ACT-2026-000066,2026-07-01,K02,P-MOB-GSM,PID628836,None,1,1.11,True
ACT-2026-000067,2026-07-01,K02,P-MOB-GSM,PID517383,None,1,1.11,True
ACT-2026-000068,2026-07-01,K02,P-MOB-GSM,PID906033,None,1,1.11,True
ACT-2026-000069,2026-07-01,K02,P-MOB-GSM,PID583625,None,1,1.11,True
ACT-2026-000070,2026-07-01,K02,P-FIX-FBR,PID794545,None,1,11.02,True
ACT-2026-000071,2026-07-01,K02,P-MOB-GSM,PID944811,None,1,1.11,True
ACT-2026-000072,2026-07-01,K02,P-MOB-OTH,PID865314,None,1,1.66,True
ACT-2026-000073,2026-07-01,K02,P-MOB-GSM,PID230666,None,1,1.11,True
ACT-2026-000074,2026-07-01,K02,P-MOB-GSM,PID248375,None,1,1.11,True
ACT-2026-000075,2026-07-01,K02,P-MOB-GSM,PID999860,None,1,1.11,True
ACT-2026-000076,2026-07-01,K02,P-MOB-GSM,PID266819,None,1,1.11,True
ACT-2026-000077,2026-07-01,K02,P-MOB-GSM,PID831169,None,1,1.11,True
ACT-2026-000078,2026-07-01,K02,P-MOB-GSM,PID255526,MNP,1,2.21,True
ACT-2026-000079,2026-07-01,K02,P-MOB-GSM,PID234972,None,1,1.11,True
ACT-2026-000080,2026-07-01,K02,P-MOB-GSM,PID115497,None,1,1.11,True
ACT-2026-000081,2026-07-01,K02,P-MOB-GSM,PID480343,None,1,1.11,True
ACT-2026-000082,2026-07-01,K02,P-MOB-GSM,PID373553,None,1,1.11,True
ACT-2026-000083,2026-07-01,K02,P-MOB-GSM,PID101753,None,1,1.11,True
ACT-2026-000084,2026-07-01,K02,P-MOB-GSM,PID389641,None,1,0.0,False
ACT-2026-000085,2026-07-01,K02,P-MOB-GSM,PID936464,None,1,1.11,True
ACT-2026-000086,2026-07-01,K02,P-MOB-GSM,PID255642,None,1,1.11,True
ACT-2026-000087,2026-07-01,K02,P-MOB-GSM,PID884349,None,1,1.11,True
ACT-2026-000088,2026-07-01,K02,P-MOB-GSM,PID917988,None,1,1.11,True
ACT-2026-000089,2026-07-01,K02,P-MOB-GSM,PID844568,None,1,1.11,True
ACT-2026-000090,2026-07-01,K02,P-MOB-OTH,PID839068,None,1,1.66,True
ACT-2026-000091,2026-07-01,K02,P-MOB-GSM,PID313704,None,1,1.11,True
ACT-2026-000092,2026-07-01,K02,P-MOB-GSM,PID712670,None,1,1.11,True
ACT-2026-000093,2026-07-01,K02,P-MOB-GSM,PID221171,None,1,1.11,True
ACT-2026-000094,2026-07-01,K02,P-MOB-OTH,PID495335,None,1,1.66,True
ACT-2026-000095,2026-07-01,K02,P-MOB-GSM,PID385963,MNP,1,2.21,True
ACT-2026-000096,2026-07-01,K02,P-MOB-OTH,PID477419,None,1,1.66,True
ACT-2026-000097,2026-07-01,K02,P-FIX-FBR,PID525365,None,1,11.02,True
ACT-2026-000098,2026-07-01,K02,P-MOB-GSM,PID302707,None,1,1.11,True
ACT-2026-000099,2026-07-01,K02,P-MOB-GSM,PID856048,None,1,1.11,True
ACT-2026-000100,2026-07-01,K02,P-MOB-GSM,PID370051,None,1,1.11,True
ACT-2026-000101,2026-07-01,K02,P-MOB-GSM,PID123877,None,1,1.11,True
ACT-2026-000102,2026-07-01,K02,P-MOB-GSM,PID392912,None,1,1.11,True
ACT-2026-000103,2026-07-01,K02,P-MOB-GSM,PID211120,None,1,1.11,True
ACT-2026-000104,2026-07-01,K03,P-MOB-GSM,PID501185,None,1,1.11,True
ACT-2026-000105,2026-07-01,K03,P-MOB-GSM,PID683433,None,1,1.11,True
ACT-2026-000106,2026-07-01,K03,P-FIX-WFA,PID529199,None,1,6.61,True
ACT-2026-000107,2026-07-01,K03,P-MOB-GSM,PID827051,None,1,1.11,True
ACT-2026-000108,2026-07-01,K03,P-MOB-GSM,PID761114,None,1,1.11,True
ACT-2026-000109,2026-07-01,K03,P-MOB-GSM,PID862548,None,1,1.11,True
ACT-2026-000110,2026-07-01,K03,P-MOB-GSM,PID769738,None,1,1.11,True
ACT-2026-000111,2026-07-01,K03,P-MOB-GSM,PID616288,None,1,1.11,True
ACT-2026-000112,2026-07-01,K03,P-MOB-OTH,PID701740,None,1,1.66,True
ACT-2026-000113,2026-07-01,K03,P-MOB-GSM,PID400122,None,1,1.11,True
ACT-2026-000114,2026-07-01,K03,P-MOB-GSM,PID493574,None,1,1.11,True
ACT-2026-000115,2026-07-01,K03,P-MOB-GSM,PID352870,MNP,1,2.21,True
ACT-2026-000116,2026-07-01,K03,P-MOB-GSM,PID777285,MNP,1,2.21,True
ACT-2026-000117,2026-07-01,K03,P-MOB-GSM,PID283938,None,1,1.11,True
ACT-2026-000118,2026-07-01,K03,P-MOB-GSM,PID579285,None,1,1.11,True
ACT-2026-000119,2026-07-01,K03,P-MOB-GSM,PID126775,None,1,1.11,True
ACT-2026-000120,2026-07-01,K03,P-MOB-GSM,PID392110,MNP,1,2.21,True
ACT-2026-000121,2026-07-01,K03,P-MOB-GSM,PID404483,MNP,1,2.21,True
ACT-2026-000122,2026-07-01,K03,P-FIX-FBR,PID677337,None,1,11.02,True
ACT-2026-000123,2026-07-01,K03,P-MOB-GSM,PID412310,MNP,1,2.21,True
ACT-2026-000124,2026-07-01,K03,P-MOB-GSM,PID665820,None,1,1.11,True
ACT-2026-000125,2026-07-01,K03,P-MOB-GSM,PID114471,None,1,1.11,True
ACT-2026-000126,2026-07-01,K03,P-MOB-GSM,PID640245,None,1,1.11,True
ACT-2026-000127,2026-07-01,K03,P-MOB-GSM,PID416058,None,1,1.11,True
ACT-2026-000128,2026-07-01,K03,P-MOB-GSM,PID524558,None,1,0.0,False
ACT-2026-000129,2026-07-01,K03,P-MOB-OTH,PID234077,None,1,1.66,True
ACT-2026-000130,2026-07-01,K03,P-MOB-GSM,PID174203,None,1,1.11,True
ACT-2026-000131,2026-07-01,K03,P-MOB-GSM,PID151410,None,1,1.11,True
ACT-2026-000132,2026-07-01,K03,P-MOB-OTH,PID575197,None,1,1.66,True
ACT-2026-000133,2026-07-01,K03,P-MOB-GSM,PID899750,MNP,1,2.21,True
ACT-2026-000134,2026-07-01,K03,P-MOB-GSM,PID606552,None,1,1.11,True
ACT-2026-000135,2026-07-01,K03,P-MOB-GSM,PID435805,None,1,1.11,True
ACT-2026-000136,2026-07-01,K03,P-MOB-GSM,PID232133,None,1,1.11,True
ACT-2026-000137,2026-07-01,K03,P-MOB-GSM,PID827319,None,1,1.11,True
ACT-2026-000138,2026-07-01,K03,P-FIX-BIB,PID613518,None,1,16.52,True
ACT-2026-000139,2026-07-01,K04,P-MOB-GSM,PID705061,None,1,1.11,True
ACT-2026-000140,2026-07-01,K04,P-MOB-OTH,PID571299,None,1,1.66,True
ACT-2026-000141,2026-07-01,K04,P-MOB-GSM,PID691859,None,1,1.11,True
ACT-2026-000142,2026-07-01,K04,P-MOB-GSM,PID116649,None,1,1.11,True
ACT-2026-000143,2026-07-01,K04,P-MOB-GSM,PID710688,None,1,1.11,True
ACT-2026-000144,2026-07-01,K04,P-MOB-GSM,PID457347,None,1,1.11,True
ACT-2026-000145,2026-07-01,K04,P-DEV-DEV,PID250602,None,1,4.28,True
ACT-2026-000146,2026-07-01,K04,P-MOB-GSM,PID690906,None,1,1.11,True
ACT-2026-000147,2026-07-01,K04,P-MOB-GSM,PID466892,None,1,1.11,True
ACT-2026-000148,2026-07-01,K04,P-MOB-GSM,PID588428,MNP,1,2.21,True
ACT-2026-000149,2026-07-01,K04,P-MOB-GSM,PID287991,MNP,1,2.21,True
ACT-2026-000150,2026-07-01,K04,P-MOB-GSM,PID151946,None,1,1.11,True
ACT-2026-000151,2026-07-01,K04,P-MOB-GSM,PID407561,None,1,1.11,True
ACT-2026-000152,2026-07-01,K04,P-MOB-GSM,PID265402,None,1,1.11,True
ACT-2026-000153,2026-07-01,K04,P-MOB-GSM,PID217983,None,1,1.11,True
ACT-2026-000154,2026-07-01,K04,P-MOB-GSM,PID166993,None,1,1.11,True
ACT-2026-000155,2026-07-01,K04,P-MOB-GSM,PID835753,None,1,1.11,True
ACT-2026-000156,2026-07-01,K04,P-FIX-BIB,PID672412,None,1,16.52,True
ACT-2026-000157,2026-07-01,K04,P-MOB-GSM,PID859915,None,1,1.11,True
ACT-2026-000158,2026-07-01,K04,P-MOB-GSM,PID133083,None,1,1.11,True
ACT-2026-000159,2026-07-01,K04,P-MOB-GSM,PID553851,MNP,1,2.21,True
ACT-2026-000160,2026-07-01,K04,P-FIX-FBR,PID604338,None,1,11.02,True
ACT-2026-000161,2026-07-01,K04,P-MOB-OTH,PID915256,None,1,1.66,True
ACT-2026-000162,2026-07-01,K04,P-FIX-FBR,PID207641,None,1,11.02,True
ACT-2026-000163,2026-07-01,K04,P-MOB-GSM,PID315515,MNP,1,2.21,True
ACT-2026-000164,2026-07-01,K04,P-MOB-OTH,PID259424,None,1,1.66,True
ACT-2026-000165,2026-07-01,K05,P-MOB-GSM,PID158625,None,1,1.11,True
ACT-2026-000166,2026-07-01,K05,P-MOB-GSM,PID289480,None,1,1.11,True
ACT-2026-000167,2026-07-01,K05,P-FIX-BIB,PID107851,None,1,16.52,True
ACT-2026-000168,2026-07-01,K05,P-MOB-GSM,PID920005,None,1,1.11,True
ACT-2026-000169,2026-07-01,K05,P-MOB-GSM,PID873493,None,1,1.11,True
ACT-2026-000170,2026-07-01,K05,P-MOB-GSM,PID545387,None,1,1.11,True
ACT-2026-000171,2026-07-01,K05,P-MOB-GSM,PID772177,None,1,1.11,True
ACT-2026-000172,2026-07-01,K05,P-MOB-GSM,PID903177,None,1,1.11,True
ACT-2026-000173,2026-07-01,K05,P-MOB-GSM,PID781964,None,1,1.11,True
ACT-2026-000174,2026-07-01,K05,P-MOB-GSM,PID700507,None,1,1.11,True
ACT-2026-000175,2026-07-01,K05,P-MOB-GSM,PID439816,None,1,1.11,True
ACT-2026-000176,2026-07-01,K05,P-FIX-FBR,PID122666,None,1,11.02,True
ACT-2026-000177,2026-07-01,K05,P-MOB-GSM,PID536851,None,1,1.11,True
ACT-2026-000178,2026-07-01,K05,P-MOB-OTH,PID999245,None,1,1.66,True
ACT-2026-000179,2026-07-01,K05,P-MOB-GSM,PID192239,None,1,1.11,True
ACT-2026-000180,2026-07-01,K05,P-MOB-GSM,PID392851,None,1,1.11,True
ACT-2026-000181,2026-07-01,K05,P-FIX-WFA,PID209625,None,1,6.61,True
ACT-2026-000182,2026-07-01,K05,P-MOB-GSM,PID848191,None,1,1.11,True
ACT-2026-000183,2026-07-01,K05,P-MOB-GSM,PID231138,None,1,1.11,True
ACT-2026-000184,2026-07-01,K05,P-MOB-GSM,PID469569,None,1,1.11,True
ACT-2026-000185,2026-07-01,K05,P-MOB-OTH,PID215017,None,1,1.66,True
ACT-2026-000186,2026-07-01,K05,P-MOB-GSM,PID889684,None,1,1.11,True
ACT-2026-000187,2026-07-01,K06,P-MOB-GSM,PID994882,None,1,1.11,True
ACT-2026-000188,2026-07-01,K06,P-MOB-GSM,PID738027,None,1,1.11,True
ACT-2026-000189,2026-07-01,K06,P-MOB-GSM,PID857112,None,1,1.11,True
ACT-2026-000190,2026-07-01,K06,P-MOB-GSM,PID396074,None,1,1.11,True
ACT-2026-000191,2026-07-01,K06,P-MOB-GSM,PID307652,None,1,1.11,True
ACT-2026-000192,2026-07-01,K06,P-MOB-GSM,PID431240,None,1,1.11,True
ACT-2026-000193,2026-07-01,K06,P-MOB-OTH,PID445848,None,1,1.66,True
ACT-2026-000194,2026-07-01,K06,P-MOB-GSM,PID708364,None,1,1.11,True
ACT-2026-000195,2026-07-01,K06,P-MOB-GSM,PID319002,None,1,1.11,True
ACT-2026-000196,2026-07-01,K06,P-MOB-GSM,PID146413,None,1,1.11,True
ACT-2026-000197,2026-07-01,K06,P-MOB-GSM,PID503960,None,1,1.11,True
ACT-2026-000198,2026-07-01,K06,P-MOB-GSM,PID526798,None,1,1.11,True
ACT-2026-000199,2026-07-01,K06,P-MOB-GSM,PID921304,None,1,1.11,True
ACT-2026-000200,2026-07-01,K06,P-MOB-GSM,PID640450,None,1,1.11,True
ACT-2026-000201,2026-07-01,K06,P-MOB-GSM,PID145360,None,1,1.11,True
ACT-2026-000202,2026-07-01,K07,P-MOB-GSM,PID247218,None,1,0.97,True
ACT-2026-000203,2026-07-01,K07,P-MOB-GSM,PID989919,MNP,1,1.94,True
ACT-2026-000204,2026-07-01,K07,P-MOB-GSM,PID352527,None,1,0.97,True
ACT-2026-000205,2026-07-01,K07,P-MOB-GSM,PID389812,None,1,0.97,True
ACT-2026-000206,2026-07-01,K07,P-MOB-GSM,PID167878,None,1,0.97,True
ACT-2026-000207,2026-07-01,K07,P-MOB-GSM,PID115999,None,1,0.97,True
ACT-2026-000208,2026-07-01,K07,P-MOB-GSM,PID561257,None,1,0.97,True
ACT-2026-000209,2026-07-01,K07,P-MOB-GSM,PID763136,None,1,0.97,True
ACT-2026-000210,2026-07-01,K07,P-MOB-GSM,PID191713,MNP,1,1.94,True
ACT-2026-000211,2026-07-01,K07,P-MOB-GSM,PID751229,None,1,0.97,True
ACT-2026-000212,2026-07-01,K07,P-MOB-GSM,PID544238,None,1,0.97,True
ACT-2026-000213,2026-07-01,K07,P-MOB-GSM,PID589697,None,1,0.97,True
ACT-2026-000214,2026-07-01,K07,P-DIG-SVC,PID987967,None,1,5.57,True
ACT-2026-000215,2026-07-01,K07,P-MOB-GSM,PID367680,None,1,0.97,True
ACT-2026-000216,2026-07-01,K07,P-MOB-GSM,PID496489,None,1,0.97,True
ACT-2026-000217,2026-07-01,K07,P-MOB-GSM,PID456837,None,1,0.97,True
ACT-2026-000218,2026-07-01,K07,P-DIG-SVC,PID294632,None,1,5.57,True
ACT-2026-000219,2026-07-01,K07,P-MOB-GSM,PID651813,None,1,0.97,True
ACT-2026-000220,2026-07-01,K07,P-MOB-GSM,PID729698,None,1,0.97,True
ACT-2026-000221,2026-07-01,K07,P-MOB-GSM,PID332454,None,1,0.97,True
ACT-2026-000222,2026-07-01,K07,P-MOB-GSM,PID843684,None,1,0.97,True
ACT-2026-000223,2026-07-01,K07,P-MOB-GSM,PID837897,None,1,0.97,True
ACT-2026-000224,2026-07-01,K07,P-MOB-GSM,PID768893,None,1,0.97,True
ACT-2026-000225,2026-07-01,K07,P-MOB-GSM,PID746776,None,1,0.97,True
ACT-2026-000226,2026-07-01,K07,P-MOB-GSM,PID226773,MNP,1,1.94,True
ACT-2026-000227,2026-07-01,K07,P-DEV-DEV,PID193188,None,1,6.08,True
ACT-2026-000228,2026-07-01,K07,P-MOB-GSM,PID494524,None,1,0.97,True
ACT-2026-000229,2026-07-01,K07,P-MOB-GSM,PID842866,None,1,0.97,True
ACT-2026-000230,2026-07-01,K07,P-MOB-GSM,PID160006,None,1,0.97,True
ACT-2026-000231,2026-07-01,K07,P-FIX-FBR,PID455310,None,1,9.71,True
ACT-2026-000232,2026-07-01,K07,P-MOB-GSM,PID275354,None,1,0.97,True
ACT-2026-000233,2026-07-01,K07,P-MOB-GSM,PID428019,None,1,0.97,True
ACT-2026-000234,2026-07-01,K07,P-MOB-GSM,PID113562,MNP,1,1.94,True
ACT-2026-000235,2026-07-01,K07,P-MOB-GSM,PID491069,None,1,0.97,True
ACT-2026-000236,2026-07-01,K07,P-MOB-GSM,PID226718,None,1,0.97,True
ACT-2026-000237,2026-07-01,K07,P-MOB-OTH,PID705566,None,1,1.45,True
ACT-2026-000238,2026-07-01,K07,P-MOB-GSM,PID462304,MNP,1,1.94,True
ACT-2026-000239,2026-07-01,K07,P-MOB-GSM,PID242916,MNP,1,1.94,True
ACT-2026-000240,2026-07-01,K07,P-MOB-OTH,PID262416,None,1,1.45,True
ACT-2026-000241,2026-07-01,K07,P-MOB-GSM,PID545294,None,1,0.97,True
ACT-2026-000242,2026-07-01,K07,P-MOB-GSM,PID510861,None,1,0.97,True
ACT-2026-000243,2026-07-01,K07,P-MOB-GSM,PID247257,None,1,0.97,True
ACT-2026-000244,2026-07-01,K07,P-MOB-GSM,PID239992,None,1,0.97,True
ACT-2026-000245,2026-07-01,K07,P-MOB-OTH,PID829377,None,1,1.45,True
ACT-2026-000246,2026-07-01,K07,P-MOB-OTH,PID263769,None,1,1.45,True
ACT-2026-000247,2026-07-01,K07,P-MOB-GSM,PID897254,None,1,0.97,True
ACT-2026-000248,2026-07-01,K07,P-MOB-GSM,PID238515,None,1,0.97,True
ACT-2026-000249,2026-07-01,K08,P-DIG-SVC,PID939691,None,1,5.57,True
ACT-2026-000250,2026-07-01,K08,P-MOB-GSM,PID992490,None,1,0.97,True
ACT-2026-000251,2026-07-01,K08,P-MOB-GSM,PID700970,None,1,0.97,True
ACT-2026-000252,2026-07-01,K08,P-MOB-GSM,PID967608,MNP,1,1.94,True
ACT-2026-000253,2026-07-01,K08,P-MOB-GSM,PID636256,MNP,1,1.94,True
